iter	TotalF1	MultiClass
0	0.1997994206	1.908135779
1	0.2101919218	1.874887599
2	0.2083944187	1.85590551
3	0.2169042026	1.855527081
4	0.2094849582	1.834850406
5	0.262036098	1.811705062
6	0.2611999719	1.802071634
7	0.2580659329	1.788151067
8	0.2658546703	1.771938373
9	0.2827670216	1.759400473
10	0.2743690756	1.747667036
11	0.2758340756	1.737249067
12	0.2720344519	1.727738777
13	0.2703363236	1.720992723
14	0.2754931944	1.712081056
15	0.2741499914	1.708626687
16	0.2783798437	1.704017444
17	0.2793967594	1.69888893
18	0.2775977222	1.690920315
19	0.2802743794	1.684500259
20	0.2873398103	1.679747458
21	0.2873398103	1.678559106
22	0.2833892802	1.671979427
23	0.2853364734	1.667299503
24	0.2864880313	1.662125342
25	0.2945304148	1.657622257
26	0.2956410832	1.655727119
27	0.2965472846	1.650008574
28	0.3029930352	1.643338569
29	0.2972023511	1.639539519
30	0.3139163836	1.63542614
31	0.3246343085	1.631435808
32	0.319844714	1.628933989
33	0.3239205844	1.625268345
34	0.3222274687	1.621657616
35	0.3223681951	1.617947067
36	0.3218275822	1.613287408
37	0.3226307704	1.611344874
38	0.3259911497	1.609862478
39	0.3259911497	1.609860515
40	0.3310064524	1.607243061
41	0.3326749764	1.604559146
42	0.3385978421	1.601794736
43	0.3369147681	1.59995188
44	0.3432004542	1.59735478
45	0.3372524878	1.594680026
46	0.3467463544	1.592492984
47	0.3497305085	1.590985229
48	0.3497305085	1.590984357
49	0.3492303107	1.588093681
50	0.3412093825	1.584647996
51	0.3545629637	1.581368758
52	0.3492912589	1.580155224
53	0.3500007847	1.578210068
54	0.3565724625	1.576561442
55	0.3557071568	1.57650348
56	0.3508881204	1.573917673
57	0.3466228672	1.572311298
58	0.3530410139	1.56974441
59	0.3519438011	1.56718889
60	0.3521412572	1.564836258
61	0.3539480635	1.562182419
62	0.3539465182	1.55794338
63	0.3539465182	1.557942972
64	0.3570461378	1.555900225
65	0.3605473373	1.55468308
66	0.3633112671	1.552393137
67	0.3683907413	1.54907697
68	0.3664135107	1.546185787
69	0.3660080283	1.544493616
70	0.3697811209	1.542528936
71	0.3709672261	1.540959926
72	0.3767079024	1.538723062
73	0.3759542668	1.538231816
74	0.3761043384	1.536854848
75	0.375298578	1.535334555
76	0.3740799945	1.53321934
77	0.3731716626	1.532574294
78	0.3720745102	1.530783816
79	0.3722870593	1.529483747
80	0.3728558009	1.52801427
81	0.3759023879	1.525239113
82	0.3766416521	1.522869963
83	0.3716538105	1.521039996
84	0.3766786423	1.518361664
85	0.37815966	1.516310211
86	0.377166503	1.514102728
87	0.3783935107	1.512390712
88	0.3774337396	1.51068438
89	0.3787145382	1.508566465
90	0.3809248226	1.507069864
91	0.3811212203	1.504118091
92	0.3804606638	1.501884532
93	0.3785673346	1.499911173
94	0.3823078859	1.496770206
95	0.3833043736	1.494461404
96	0.3872674984	1.492835481
97	0.3852034012	1.49099448
98	0.3866669433	1.489498216
99	0.3851076444	1.487551045
100	0.384373894	1.486171347
101	0.3865724588	1.485218633
102	0.3868931368	1.483173607
103	0.3892357469	1.481386477
104	0.3921120439	1.479076669
105	0.3886912421	1.477123229
106	0.3966638952	1.475588571
107	0.4020548049	1.473849648
108	0.4057639784	1.471672984
109	0.4073884089	1.470819143
110	0.4145765345	1.469119634
111	0.4112934388	1.467575473
112	0.4114976221	1.465653557
113	0.4074859787	1.464519901
114	0.4098428926	1.461717819
115	0.4224331856	1.457914755
116	0.4243044853	1.456110225
117	0.4252677137	1.453280063
118	0.4248840643	1.45040366
119	0.4206917477	1.448751273
120	0.4255346213	1.445435061
121	0.4266860157	1.444152633
122	0.4274322425	1.44199457
123	0.4336144281	1.439940844
124	0.4323806745	1.437800666
125	0.4347562431	1.436390197
126	0.4340443974	1.434819494
127	0.4353444481	1.433308324
128	0.4407753341	1.432091295
129	0.4370408542	1.42960877
130	0.4412738538	1.42742488
131	0.4431239888	1.425807306
132	0.4427479174	1.423706002
133	0.4427479174	1.422557832
134	0.4418744019	1.420799256
135	0.4425518203	1.418064698
136	0.445916966	1.416149673
137	0.4519093113	1.413056242
138	0.4544252805	1.4095673
139	0.4551160576	1.406673488
140	0.4522911233	1.405591467
141	0.4524770136	1.404492762
142	0.4540622438	1.403023153
143	0.4535263112	1.401351023
144	0.4517504063	1.399984255
145	0.4580229705	1.397688565
146	0.4597153517	1.395749681
147	0.4592310295	1.394677666
148	0.4603032397	1.393449872
149	0.4640825998	1.392186458
150	0.4669194144	1.390763637
151	0.4656628755	1.389419483
152	0.4659475817	1.387968759
153	0.4662808353	1.38691437
154	0.4692443189	1.385111582
155	0.4690783738	1.383392395
156	0.4699078572	1.381535672
157	0.469514529	1.380485402
158	0.4723396047	1.379056938
159	0.4733313488	1.377721063
160	0.4741969918	1.376232629
161	0.4730879398	1.373481738
162	0.4720008308	1.370945603
163	0.4789789737	1.368427242
164	0.4841360574	1.367001896
165	0.4903560016	1.364799275
166	0.4946057546	1.362608577
167	0.4905670035	1.359294152
168	0.488432542	1.357276757
169	0.4878012971	1.355371515
170	0.4925600414	1.353714035
171	0.4947699049	1.352326087
172	0.4992281883	1.350767883
173	0.4973526796	1.349692432
174	0.5030336131	1.347977264
175	0.4957506321	1.34690034
176	0.5034717351	1.34514575
177	0.502433582	1.344091893
178	0.5030919854	1.341998859
179	0.5016750649	1.3401432
180	0.5067543129	1.338329466
181	0.508870756	1.336937326
182	0.5103737263	1.335146503
183	0.511464324	1.332767646
184	0.5110810706	1.331582836
185	0.5108902983	1.330324839
186	0.5136558699	1.329404096
187	0.5124463857	1.32759982
188	0.5157799422	1.325646053
189	0.5176024195	1.324569092
190	0.5165339414	1.323423414
191	0.5184693763	1.322425666
192	0.5234712239	1.320446339
193	0.5261930827	1.3189712
194	0.5261335379	1.31623512
195	0.5251729819	1.314117175
196	0.5254858382	1.312789182
197	0.5273415939	1.310312348
198	0.5284100311	1.308771993
199	0.5278578996	1.307638035
200	0.5279554285	1.306010454
201	0.528321602	1.304756557
202	0.5281707765	1.303294269
203	0.5290212998	1.302256574
204	0.5288792954	1.301167192
205	0.5300657886	1.299819463
206	0.5311965179	1.298917027
207	0.5306546534	1.298021489
208	0.5308683728	1.296492141
209	0.5323071143	1.295520977
210	0.5306835843	1.294102976
211	0.5311514483	1.292968988
212	0.5301195319	1.292004814
213	0.5297784699	1.289381853
214	0.5310255883	1.287305412
215	0.5319352131	1.285831357
216	0.5315505278	1.2848733
217	0.5324187287	1.283021018
218	0.5350631465	1.281898314
219	0.5375026281	1.280989172
220	0.5376935026	1.280309922
221	0.539054163	1.279422424
222	0.5388064462	1.27798514
223	0.5391061998	1.276897725
224	0.5409231161	1.275577001
225	0.5436116606	1.274007841
226	0.5440206542	1.273117848
227	0.5455875579	1.272244822
228	0.5461516599	1.270510654
229	0.5444092264	1.269692735
230	0.5528932645	1.2681009
231	0.5549705072	1.266918256
232	0.5562926478	1.265968012
233	0.5555197252	1.264970983
234	0.5551493283	1.263520237
235	0.5560135486	1.262492033
236	0.5553393901	1.261485707
237	0.5594460106	1.260081814
238	0.560186204	1.259399401
239	0.5609045059	1.258256555
240	0.5631289874	1.257174501
241	0.5604662999	1.256026822
242	0.5612583251	1.255338873
243	0.5634741371	1.253445935
244	0.564069982	1.252506901
245	0.5659115539	1.250572533
246	0.5633807115	1.249705464
247	0.5631242728	1.248593557
248	0.5639158885	1.247661883
249	0.5647190857	1.246534086
250	0.5648421179	1.245006136
251	0.5662632902	1.24403093
252	0.5668954507	1.242968559
253	0.5698039906	1.241336274
254	0.5710578018	1.240332526
255	0.5727764996	1.23912503
256	0.5710436107	1.237714006
257	0.5716239909	1.236706059
258	0.5692084019	1.235635274
259	0.5722062302	1.23465664
